,Marca,Color,Dimensiones del paquete,Capacidad,Material,Peso del producto,ASIN,Valoración media de los clientes,Clasificación en los más vendidos de Amazon,Producto en Amazon.es desde,Rating,Price,Is Discontinued By Manufacturer,Dimensiones del producto,Fabricante,Nmero de modelo del producto,Departamento,Clasificacin en los ms vendidos de Amazon,Dimensiones del producto: largo x ancho x alto,Tamaño,Número de productos,Incluye baterías,Necesita baterías,Pas de origen,Referencia del fabricante,Peso,Número de modelo,Diámetro,Características especiales,Cuidado de la prenda,Tipo de tapón,Identificador de producto del fabricante,Uso,Componentes incluidos
0,Umi,Azul Oscuro,‎27.5 x 8.4 x 8.3 cm; 370 gramos,500 Mililitros,Acero inoxidable,‎370 g,B0814J9XM5,"4,5 de 5 estrellas157 valoraciones4,5 de 5 estrellas",nº274 en Deportes y aire libre,14 noviembre 2019,4.5,14.95,,,,,,,,,,,,,,,,,,,,,,
73,LAKEN,Verde,29.2 x 21.8 x 7.8 cm; 480 gramos,3000 Mililitros,Aluminio,‎360 g,B00DTGF0B6,"4,7 de 5 estrellas168 valoraciones4,7 de 5 estrellas","nº13,099 en Hogar y cocina",3 diciembre 2013,4.1,26.09,No,14 x 10 x 22 cm; 240 gramos,Laken,150,Unisex adulto,Ver el Top 100 en Hogar y cocina,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎7770194,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
74,LAKEN,Negro,29.2 x 21.8 x 7.8 cm; 480 gramos,500 Mililitros,Acero inoxidable,‎360 g,B00CUDM2ME,"4,7 de 5 estrellas168 valoraciones4,7 de 5 estrellas","nº13,099 en Hogar y cocina",15 septiembre 2013,4.4,19.6,No,7.3 x 7.3 x 21 cm; 291 gramos,Laken,TA5N,Unisex adulto,Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎7770194,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
75,Milu,Menta,29.2 x 21.8 x 7.8 cm; 480 gramos,500 Mililitros,Acero inoxidable,290 Gramos,B08TMM1VMW,"4,8 de 5 estrellas2.177 valoraciones4,8 de 5 estrellas","nº2,248 en Hogar y cocina",14 abril 2020,4.8,22.95,No,‎7 x 7 x 23.5 cm; 290 gramos,Laken,TA5N,Unisex adulto,Ver el Top 100 en Deportes y aire libre,7 x 7 x 23.5 centímetros,‎1000 ml,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
76,LAKEN,Azul Jannu+classic,33.6 x 11.6 x 8.8 cm; 440 gramos,25 Onzas,Acero inoxidable,290 Gramos,B07B2N7787,"4,8 de 5 estrellas2.177 valoraciones4,8 de 5 estrellas","nº2,248 en Hogar y cocina",21 abril 2018,4.5,29.5,No,‎7 x 7 x 23.5 cm; 290 gramos,Laken,TA5N,Unisex adulto,Ver el Top 100 en Deportes y aire libre,7 x 7 x 23.5 centímetros,‎1000 ml,‎1,‎No,‎No,China,QTJ7A/TTC,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
77,LAKEN,Azul,33.6 x 11.6 x 8.8 cm; 440 gramos,1 Litros,Acero inoxidable,290 Gramos,B07PQ9SVKP,"4,8 de 5 estrellas2.177 valoraciones4,8 de 5 estrellas","nº2,248 en Hogar y cocina",18 marzo 2019,4.4,22.3,No,8.5 x 8.5 x 8.5 cm; 260 gramos,Laken,BSB100AZ,Adultos unisex,Ver el Top 100 en Deportes y aire libre,7 x 7 x 23.5 centímetros,‎1000 ml,‎1,‎No,‎No,China,QTJ7A/TTC,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
78,Proworks,05. Cobre,33.6 x 11.6 x 8.8 cm; 440 gramos,500 Mililitros,Acero inoxidable,460 Gramos,B07QW2W2DF,"4,8 de 5 estrellas2.177 valoraciones4,8 de 5 estrellas","nº2,248 en Hogar y cocina",12 junio 2019,4.6,14.95,No,28 x 7.8 x 28 cm; 460 gramos,Proworks,PW-1000-Z683,Niños,Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,QTJ7A/TTC,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
79,MAMEIDO,Frosted White Gold,33.6 x 11.6 x 8.8 cm; 440 gramos,1000 Mililitros,"Vidrio, Plástico",‎124 g,B08JRR6SSD,"4,4 de 5 estrellas1.119 valoraciones4,4 de 5 estrellas",nº471 en Deportes y aire libre,9 octubre 2020,4.4,19.99,No,‎7.5 x 7.5 x 28 cm; 124 gramos,‎RM COMMERCE GmbH,PW-1000-Z683,Niños,Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,QTJ7A/TTC,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
80,Super Sparrow,Mate- Menta,33.6 x 11.6 x 8.8 cm; 440 gramos,0.35 Litros,Tritan no tóxico sin BPA.,‎124 g,B07C8GSLK2,"4,4 de 5 estrellas1.119 valoraciones4,4 de 5 estrellas",nº471 en Deportes y aire libre,3 mayo 2017,4.6,11.59,No,7.2 x 7.2 x 18.2 cm; 160 gramos,Super Sparrow,X-Mint-12oz,"Adulto, niñas, niños",Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,QTJ7A/TTC,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
81,Grsta,Verde Oscuro,24 x 8 x 8 cm; 320 gramos,350 Mililitros,"Caucho, Acero inoxidable",‎124 g,B08FFSG5HP,"4,4 de 5 estrellas1.119 valoraciones4,4 de 5 estrellas",nº471 en Deportes y aire libre,8 agosto 2020,4.6,18.97,No,7.2 x 7.2 x 18.2 cm; 160 gramos,Grsta,X-Mint-12oz,"Adulto, niñas, niños",Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
82,MAMEIDO,Taupe Grey Gold,24 x 8 x 8 cm; 320 gramos,750 Mililitros,Acero inoxidable,‎124 g,B07XM9D9CZ,"4,4 de 5 estrellas1.119 valoraciones4,4 de 5 estrellas",nº471 en Deportes y aire libre,14 septiembre 2020,4.6,26.99,No,7.8 x 7.8 x 26.4 cm; 331 gramos,RM COMMMERCE GmbH,X-Mint-12oz,"Adulto, niñas, niños",Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
83,Chilly's,Negro,22 x 8 x 7.9 cm; 300 gramos,0.26 Litros,Acero inoxidable,‎124 g,B07N96G4DH,"4,4 de 5 estrellas1.119 valoraciones4,4 de 5 estrellas",nº471 en Deportes y aire libre,31 enero 2019,4.7,20.0,No,7.8 x 7.8 x 26.4 cm; 331 gramos,Chilly's,B260MOBLK,Unisex adulto,Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
84,GadHome,13. Lima Lila,‎24.7 x 7.4 x 7.4 cm; 360 gramos,500 Mililitros,"Acero inoxidable, Cobre",‎360 g,B08NL4DVXW,"4,7 de 5 estrellas168 valoraciones4,7 de 5 estrellas","nº13,099 en Hogar y cocina",16 noviembre 2020,4.7,19.99,No,7.8 x 7.8 x 26.4 cm; 331 gramos,Chilly's,B260MOBLK,Unisex adulto,Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
85,LAKEN,Rojo 127,‎24.7 x 7.4 x 7.4 cm; 360 gramos,1 Litros,Compuesto,‎360 g,B00H28AFZ8,"4,7 de 5 estrellas168 valoraciones4,7 de 5 estrellas","nº13,099 en Hogar y cocina",3 diciembre 2013,4.2,19.4,No,14 x 9 x 20 cm; 259.99 gramos,Laken,127FR,Unisex adulto,Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
86,LAKEN,750ml Negro + Funda Térmica,29.2 x 21.8 x 7.8 cm; 480 gramos,25 Onzas,Acero,‎360 g,B07B2LBM4Y,"4,7 de 5 estrellas168 valoraciones4,7 de 5 estrellas","nº13,099 en Hogar y cocina",21 abril 2018,4.7,31.3,No,14 x 9 x 20 cm; 259.99 gramos,Laken,QTE7N/ST049N2,Unisex adulto,Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
87,LAKEN,Verde,29.2 x 21.8 x 7.8 cm; 480 gramos,3000 Mililitros,Aluminio,‎360 g,B00DTGF0B6,"4,7 de 5 estrellas168 valoraciones4,7 de 5 estrellas","nº13,099 en Hogar y cocina",3 diciembre 2013,4.1,26.09,No,14 x 10 x 22 cm; 240 gramos,Laken,150,Unisex adulto,Ver el Top 100 en Hogar y cocina,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
88,LAKEN,Negro,29.2 x 21.8 x 7.8 cm; 480 gramos,500 Mililitros,Acero inoxidable,‎360 g,B00CUDM2ME,"4,7 de 5 estrellas168 valoraciones4,7 de 5 estrellas","nº13,099 en Hogar y cocina",15 septiembre 2013,4.4,19.6,No,7.3 x 7.3 x 21 cm; 291 gramos,Laken,TA5N,Unisex adulto,Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
89,Milu,Menta,29.2 x 21.8 x 7.8 cm; 480 gramos,500 Mililitros,Acero inoxidable,290 Gramos,B08TMM1VMW,"4,8 de 5 estrellas2.177 valoraciones4,8 de 5 estrellas","nº2,248 en Hogar y cocina",14 abril 2020,4.8,22.95,No,‎7 x 7 x 23.5 cm; 290 gramos,Laken,TA5N,Unisex adulto,Ver el Top 100 en Deportes y aire libre,7 x 7 x 23.5 centímetros,‎1000 ml,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
90,FLES,Negro Básico,29.2 x 21.8 x 7.8 cm; 480 gramos,64 Onzas,Tritan sin BPA.,‎540 g,B086LKXKVJ,"4,8 de 5 estrellas2.177 valoraciones4,8 de 5 estrellas","nº25,276 en Deportes y aire libre",17 junio 2020,4.8,22.95,No,‎30.48 x 12.19 x 12.19 cm; 540 gramos,‎Forsit,TA5N,Unisex adulto,Ver el Top 100 en Deportes y aire libre,7 x 7 x 23.5 centímetros,‎64 oz,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
91,KollyKolla,Todo Rojo,23 x 7.8 x 7.8 cm; 248 gramos,12 Onzas,Acero inoxidable,248 Gramos,B0829LY11H,"4,8 de 5 estrellas2.177 valoraciones4,8 de 5 estrellas","nº25,276 en Deportes y aire libre",4 diciembre 2019,4.7,15.97,No,‎30.48 x 12.19 x 12.19 cm; 540 gramos,KollyKolla,KK-KLWB,Unisex adulto,Ver el Top 100 en Deportes y aire libre,7 x 7 x 23.5 centímetros,‎64 oz,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
92,LAKEN,Azul Jannu+classic,33.6 x 11.6 x 8.8 cm; 440 gramos,25 Onzas,Acero inoxidable,248 Gramos,B07B2N7787,"4,8 de 5 estrellas2.177 valoraciones4,8 de 5 estrellas","nº25,276 en Deportes y aire libre",21 abril 2018,4.5,29.5,No,‎30.48 x 12.19 x 12.19 cm; 540 gramos,Laken,KK-KLWB,Unisex adulto,Ver el Top 100 en Deportes y aire libre,7 x 7 x 23.5 centímetros,‎64 oz,‎1,‎No,‎No,China,QTJ7A/TTC,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
93,LAKEN,Azul,33.6 x 11.6 x 8.8 cm; 440 gramos,1 Litros,Acero inoxidable,248 Gramos,B07PQ9SVKP,"4,8 de 5 estrellas2.177 valoraciones4,8 de 5 estrellas","nº25,276 en Deportes y aire libre",18 marzo 2019,4.4,22.3,No,8.5 x 8.5 x 8.5 cm; 260 gramos,Laken,BSB100AZ,Adultos unisex,Ver el Top 100 en Deportes y aire libre,7 x 7 x 23.5 centímetros,‎64 oz,‎1,‎No,‎No,China,QTJ7A/TTC,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
94,Ion8,Azul,33.6 x 11.6 x 8.8 cm; 440 gramos,650 Mililitros,Plástico,248 Gramos,B01L76TD7G,"4,8 de 5 estrellas2.177 valoraciones4,8 de 5 estrellas","nº25,276 en Deportes y aire libre",30 agosto 2016,4.6,13.73,No,7.5 x 7.5 x 22.5 cm; 39.69 gramos,ion8,B01L76TD7G,Unisex adulto,Ver el Top 100 en Deportes y aire libre,7 x 7 x 23.5 centímetros,‎64 oz,‎1,‎No,‎No,China,QTJ7A/TTC,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
95,Proworks,05. Cobre,33.6 x 11.6 x 8.8 cm; 440 gramos,500 Mililitros,Acero inoxidable,460 Gramos,B07QW2W2DF,"4,8 de 5 estrellas2.177 valoraciones4,8 de 5 estrellas","nº25,276 en Deportes y aire libre",12 junio 2019,4.6,14.95,No,28 x 7.8 x 28 cm; 460 gramos,Proworks,PW-1000-Z683,Niños,Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎64 oz,‎1,‎No,‎No,China,QTJ7A/TTC,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
96,MAMEIDO,Frosted White Gold,33.6 x 11.6 x 8.8 cm; 440 gramos,1000 Mililitros,"Vidrio, Plástico",‎124 g,B08JRR6SSD,"4,4 de 5 estrellas1.119 valoraciones4,4 de 5 estrellas",nº471 en Deportes y aire libre,9 octubre 2020,4.4,19.99,No,‎7.5 x 7.5 x 28 cm; 124 gramos,‎RM COMMERCE GmbH,PW-1000-Z683,Niños,Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,QTJ7A/TTC,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
97,Super Sparrow,Mate- Menta,33.6 x 11.6 x 8.8 cm; 440 gramos,0.35 Litros,Tritan no tóxico sin BPA.,‎124 g,B07C8GSLK2,"4,4 de 5 estrellas1.119 valoraciones4,4 de 5 estrellas",nº471 en Deportes y aire libre,3 mayo 2017,4.6,11.59,No,7.2 x 7.2 x 18.2 cm; 160 gramos,Super Sparrow,X-Mint-12oz,"Adulto, niñas, niños",Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,QTJ7A/TTC,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
98,Grsta,Verde Oscuro,24 x 8 x 8 cm; 320 gramos,350 Mililitros,"Caucho, Acero inoxidable",‎124 g,B08FFSG5HP,"4,4 de 5 estrellas1.119 valoraciones4,4 de 5 estrellas",nº471 en Deportes y aire libre,8 agosto 2020,4.6,18.97,No,7.2 x 7.2 x 18.2 cm; 160 gramos,Grsta,X-Mint-12oz,"Adulto, niñas, niños",Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
99,MAMEIDO,Taupe Grey Gold,24 x 8 x 8 cm; 320 gramos,750 Mililitros,Acero inoxidable,‎124 g,B07XM9D9CZ,"4,4 de 5 estrellas1.119 valoraciones4,4 de 5 estrellas",nº471 en Deportes y aire libre,14 septiembre 2020,4.6,26.99,No,7.8 x 7.8 x 26.4 cm; 331 gramos,RM COMMMERCE GmbH,X-Mint-12oz,"Adulto, niñas, niños",Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
100,Chilly's,Negro,22 x 8 x 7.9 cm; 300 gramos,0.26 Litros,Acero inoxidable,‎124 g,B07N96G4DH,"4,4 de 5 estrellas1.119 valoraciones4,4 de 5 estrellas",nº471 en Deportes y aire libre,31 enero 2019,4.7,20.0,No,7.8 x 7.8 x 26.4 cm; 331 gramos,Chilly's,B260MOBLK,Unisex adulto,Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
101,LAKEN,Rojo 127,22 x 8 x 7.9 cm; 300 gramos,1 Litros,Compuesto,‎124 g,B00H28AFZ8,"4,4 de 5 estrellas1.119 valoraciones4,4 de 5 estrellas",nº471 en Deportes y aire libre,3 diciembre 2013,4.2,19.4,No,14 x 9 x 20 cm; 259.99 gramos,Laken,127FR,Unisex adulto,Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
102,GadHome,13. Lima Lila,‎24.7 x 7.4 x 7.4 cm; 360 gramos,500 Mililitros,"Acero inoxidable, Cobre",‎360 g,B08NL4DVXW,"4,7 de 5 estrellas168 valoraciones4,7 de 5 estrellas","nº13,099 en Hogar y cocina",16 noviembre 2020,4.7,19.99,No,14 x 9 x 20 cm; 259.99 gramos,Laken,127FR,Unisex adulto,Ver el Top 100 en Deportes y aire libre,28 x 7.8 x 28 centímetros,‎1000 ml,‎1,‎No,‎No,China,VK-ZKB 350ML Dark Green 322C,170 Gramos,‎Afdsfbgnmn3vrf3545,‎9 Centímetros,"‎Para interiores., Aislante., Apto para lavavajillas., Mantiene las bebidas calientes hasta 10 horas, Con mango., Con filtro extraíble, Exteriores., Mantiene las bebidas frías hasta 12 horas",Lavar solo a mano,Schraubverschluss,‎B08KPLCHN6,‎Bebe agua,"‎Manga, correa, pegatinas"
